,index,promptID,pairID,genre,sentence1_binary_parse,sentence2_binary_parse,sentence1_parse,sentence2_parse,sentence1,sentence2,label1,gold_label
232,8446,118767,118767c,travel,"( ( With ( ( its economy ) ( in disarray ) ) ) ( , ( ( the government ) ( ( ( introduced ( ( a ( limited number ) ) ( of ( capitalist measures ) ) ) ) ( while ( maintaining ( a ( firm ( political grip ) ) ) ) ) ) . ) ) ) )",( ( The government ) ( ( did ( ( introduce measures ) ( when ( ( the economy ) ( was ( in disarray ) ) ) ) ) ) . ) ),"(ROOT (S (PP (IN With) (NP (NP (PRP$ its) (NN economy)) (PP (IN in) (NP (NN disarray))))) (, ,) (NP (DT the) (NN government)) (VP (VBD introduced) (NP (NP (DT a) (JJ limited) (NN number)) (PP (IN of) (NP (JJ capitalist) (NNS measures)))) (PP (IN while) (S (VP (VBG maintaining) (NP (DT a) (JJ firm) (JJ political) (NN grip)))))) (. .)))",(ROOT (S (NP (DT The) (NN government)) (VP (VBD did) (VP (VB introduce) (NP (NNS measures)) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NN economy)) (VP (VBD was) (PP (IN in) (NP (NN disarray)))))))) (. .))),"With its economy in disarray, the government introduced a limited number of capitalist measures while maintaining a firm political grip.",The government did introduce measures when the economy was in disarray.,contradiction,contradiction
281,223019,31797,31797n,travel,"( ( ( ( ( ( Local fruit ) ( is delicious ) ) , ) and ) ( ( ( the ( fresh produce ) ) ( of Ibiza ) ) ( will ( jolt ( ( your palate ) awake ) ) ) ) ) . )",( ( The ( local ( fresh fruits ) ) ) ( ( ( will not ) ( jolt ( ( your palette ) awake ) ) ) . ) ),"(ROOT (S (S (NP (JJ Local) (NN fruit)) (VP (VBZ is) (ADJP (JJ delicious)))) (, ,) (CC and) (S (NP (NP (DT the) (JJ fresh) (NN produce)) (PP (IN of) (NP (NNP Ibiza)))) (VP (MD will) (VP (VB jolt) (S (NP (PRP$ your) (NN palate)) (ADJP (RB awake)))))) (. .)))",(ROOT (S (NP (DT The) (JJ local) (JJ fresh) (NNS fruits)) (VP (MD will) (RB not) (VP (VB jolt) (S (NP (PRP$ your) (NN palette)) (ADJP (RB awake))))) (. .)))," Local fruit is delicious, and the fresh produce of Ibiza will jolt your palate awake.",The local fresh fruits will not jolt your palette awake.,neutral,neutral
143,378043,103581,103581c,travel,"( ( ( ( ( ( ( The ( general massacre ) ) ( of Protestants ) ) ( spread ( to ( the countryside ) ) ) ) , ) and ) ( ( by October ) ( ( another 30,000 ) ( had ( lost ( their lives ) ) ) ) ) ) . )",( ( The people ) ( ( were ( ( killed ( due ( to ( their beliefs ) ) ) ) ( in politics ) ) ) . ) ),"(ROOT (S (S (NP (NP (DT The) (JJ general) (NN massacre)) (PP (IN of) (NP (NNPS Protestants)))) (VP (VBN spread) (PP (TO to) (NP (DT the) (NN countryside))))) (, ,) (CC and) (S (PP (IN by) (NP (NNP October))) (NP (DT another) (CD 30,000)) (VP (VBD had) (VP (VBN lost) (NP (PRP$ their) (NNS lives))))) (. .)))",(ROOT (S (NP (DT The) (NNS people)) (VP (VBD were) (VP (VBN killed) (ADJP (JJ due) (PP (TO to) (NP (PRP$ their) (NNS beliefs)))) (PP (IN in) (NP (NNS politics))))) (. .))),"The general massacre of Protestants spread to the countryside, and by October another 30,000 had lost their lives.",The people were killed due to their beliefs in politics.,contradiction,contradiction
278,339294,78150,78150c,slate,"( ( That ( ( ( a company ) ( like BMW ) ) ( can ( ( get ( ( brownie points ) ( for ( art patronage ) ) ) ) ( by ( promoting ( its ( own product ) ) ) ) ) ) ) ) ( ( ( is ( part ( of ( the reason ) ) ) ) ( that ( ( this exhibition ) ( took ( ( ( ( ( place , ) ( instead of ) ) ( ( the one ) ( ( examining ( 20 ( th ( century art ) ) ) ) ( at ( ( the end ) ( of ( the millennium ) ) ) ) ) ) ) , ) ( which ( it replaced ) ) ) ) ) ) ) . ) )",( ( Other companies ) ( also ( ( acted ( as ( art patronages ) ) ) . ) ) ),"(ROOT (S (SBAR (IN That) (S (NP (NP (DT a) (NN company)) (PP (IN like) (NP (NNP BMW)))) (VP (MD can) (VP (VB get) (NP (NP (JJ brownie) (NNS points)) (PP (IN for) (NP (NN art) (NN patronage)))) (PP (IN by) (S (VP (VBG promoting) (NP (PRP$ its) (JJ own) (NN product))))))))) (VP (VBZ is) (NP (NP (NN part)) (PP (IN of) (NP (DT the) (NN reason)))) (SBAR (IN that) (S (NP (DT this) (NN exhibition)) (VP (VBD took) (NP (NP (NN place)) (, ,) (CONJP (RB instead) (IN of)) (NP (NP (DT the) (NN one)) (VP (VBG examining) (NP (CD 20) (NN th) (NN century) (NN art)) (PP (IN at) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NNP millennium))))))) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP it)) (VP (VBD replaced))))))))) (. .)))",(ROOT (S (NP (JJ Other) (NNS companies)) (ADVP (RB also)) (VP (VBD acted) (PP (IN as) (NP (NN art) (NNS patronages)))) (. .))),"That a company like BMW can get brownie points for art patronage by promoting its own product is part of the reason that this exhibition took place, instead of the one examining 20 th century art at the end of the millennium, which it replaced.",Other companies also acted as art patronages.,contradiction,contradiction
219,136466,6420,6420e,government,"( However ( , ( ( ( understanding reasons ) ( for ( ( ( behavior ( as complex ) ) ( as not ) ) filing ) ) ) ( ( ( is well ) ( suited ( for ( case studies ) ) ) ) . ) ) ) )",( ( Understanding ( why ( people ( behave ( certain ways ) ) ) ) ) ( ( ( is not ) ( ( good material ) ( for ( case studies ) ) ) ) . ) ),"(ROOT (S (ADVP (RB However)) (, ,) (NP (NP (NN understanding) (NNS reasons)) (PP (IN for) (NP (NP (NP (NN behavior)) (PP (IN as) (NP (NN complex)))) (CONJP (RB as) (RB not)) (NP (NN filing))))) (VP (VBZ is) (ADVP (RB well)) (VP (VBN suited) (PP (IN for) (NP (NN case) (NNS studies))))) (. .)))",(ROOT (S (S (VP (VBG Understanding) (SBAR (WHADVP (WRB why)) (S (NP (NNS people)) (VP (VB behave) (NP (JJ certain) (NNS ways))))))) (VP (VBZ is) (RB not) (NP (NP (JJ good) (NN material)) (PP (IN for) (NP (NN case) (NNS studies))))) (. .))),"However, understanding reasons for behavior as complex as not filing is well suited for case studies.",Understanding why people behave certain ways is not good material for case studies.,entailment,entailment
304,88278,105072,105072n,travel,( ( ( The ( eastern group ) ) ( of structures ) ) ( ( includes ( three ( Jain temples ) ) ) . ) ),( ( ( The ( eastern group ) ) ( of structures ) ) ( has ( three ( Jain temples ) ) ) ),(ROOT (S (NP (NP (DT The) (JJ eastern) (NN group)) (PP (IN of) (NP (NNS structures)))) (VP (VBZ includes) (NP (CD three) (NNP Jain) (NNS temples))) (. .))),(ROOT (S (NP (NP (DT The) (JJ eastern) (NN group)) (PP (IN of) (NP (NNS structures)))) (VP (VBZ has) (NP (CD three) (NNP Jain) (NNS temples))))),The eastern group of structures includes three Jain temples.,The eastern group of structures has three Jain temples,neutral,neutral
317,213474,128126,128126c,slate,( ( ( A ( 1992 study ) ) ( estimated ( that ( ( ( some ( 8 percent ) ) ( of ( ( ( Russia 's ) ( industrial output ) ) ( at ( the time ) ) ) ) ) ( ( was ( being ( ( produced ( by factories ) ) ( that ( ( even ( Russian analysts ) ) ( called value-subtractors ) ) ) ) ) ) . ) ) ) ) ) ( ( The study ) ( ( noted ( that ( ( ( the collapse ) ( of ( value-subtracting industries ) ) ) ( can ( precipitate ( an ( economic boon ) ) ) ) ) ) ) . ) ) ),( ( The ( same problem ) ) ( ( was ( faced ( by ( other economies ) ) ) ) . ) ),(ROOT (S (S (NP (DT A) (CD 1992) (NN study)) (VP (VBD estimated) (SBAR (IN that) (S (NP (NP (DT some) (CD 8) (NN percent)) (PP (IN of) (NP (NP (NP (NNP Russia) (POS 's)) (JJ industrial) (NN output)) (PP (IN at) (NP (DT the) (NN time)))))) (VP (VBD was) (VP (VBG being) (VP (VBN produced) (PP (IN by) (NP (NNS factories))) (SBAR (IN that) (S (NP (RB even) (JJ Russian) (NNS analysts)) (VP (VBD called) (NP (NNS value-subtractors)))))))) (. .))))) (NP (DT The) (NN study)) (VP (VBD noted) (SBAR (IN that) (S (NP (NP (DT the) (NN collapse)) (PP (IN of) (NP (JJ value-subtracting) (NNS industries)))) (VP (MD can) (VP (VB precipitate) (NP (DT an) (JJ economic) (NN boon))))))) (. .))),(ROOT (S (NP (DT The) (JJ same) (NN problem)) (VP (VBD was) (VP (VBN faced) (PP (IN by) (NP (JJ other) (NNS economies))))) (. .))),A 1992 study estimated that some 8 percent of Russia's industrial output at the time was being produced by factories that even Russian analysts called value-subtractors . The study noted that the collapse of value-subtracting industries can precipitate an economic boon.,The same problem was faced by other economies.,contradiction,contradiction
236,162184,85238,85238c,travel,"( You ( ( ( ( ( can , ) however ) , ) ( ( ( ( get ( a peek ) ) ( into ( ( the ( good life ) ) ( at ( ( ( ( ( ( ( Hotel ( Bel ( Air 's ) ) ) restaurant ) , ) lounge ) , ) and ) ( gardens ( -LRB- ( ( 701 ( Stone ( Canyon Road ) ) ) -RRB- ) ) ) ) ) ) ) ) , ) ( where ( celebs ( often linger ) ) ) ) ) . ) )",( ( ( The ( Hotel ( Bel ( Air 's ) ) ) ) restaurant ) ( is ( ( an ( accurate representation ) ) ( of ( what ( ( a ( good life ) ) is ) ) ) ) ) ),"(ROOT (S (NP (PRP You)) (VP (MD can) (, ,) (ADVP (RB however)) (, ,) (VP (VB get) (NP (DT a) (NN peek)) (PP (IN into) (NP (NP (DT the) (JJ good) (NN life)) (PP (IN at) (NP (NP (NP (NNP Hotel) (NNP Bel) (NNP Air) (POS 's)) (NN restaurant)) (, ,) (NP (NN lounge)) (, ,) (CC and) (NP (NP (NNS gardens)) (PRN (-LRB- -LRB-) (NP (NNP 701) (NNP Stone) (NNP Canyon) (NNP Road)) (-RRB- -RRB-))))))) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (NNS celebs)) (ADVP (RB often)) (VP (VB linger)))))) (. .)))",(ROOT (S (NP (NP (DT The) (NNP Hotel) (NNP Bel) (NNP Air) (POS 's)) (NN restaurant)) (VP (VBZ is) (NP (NP (DT an) (ADJP (JJ accurate)) (NN representation)) (PP (IN of) (SBAR (WHNP (WP what)) (S (NP (DT a) (JJ good) (NN life)) (VP (VBZ is))))))))),"You can, however, get a peek into the good life at Hotel Bel Air's restaurant, lounge, and gardens (701 Stone Canyon Road), where celebs often linger.",The Hotel Bel Air's restaurant is an accurate representation of what a good life is,contradiction,contradiction
472,261483,132392,132392n,government,( ( The Commission ) ( ( has ( compiled ( ( factual findings ) ( that ( address ( ( the questions ) ( identified ( in ( ( the ( Federal ( Register notice ) ) ) ( described above ) ) ) ) ) ) ) ) ) ) . ) ),( ( The Commission ) ( ( has ( compiled ( ( the findings ) ( that ( ( do not ) ( address ( ( the statements ) ( ( brought up ) ( in ( the ( Federal ( Register notice ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNP Commission)) (VP (VBZ has) (VP (VBN compiled) (NP (NP (JJ factual) (NNS findings)) (SBAR (WHNP (WDT that)) (S (VP (VBP address) (NP (NP (DT the) (NNS questions)) (VP (VBN identified) (PP (IN in) (NP (NP (DT the) (NNP Federal) (NNP Register) (NN notice)) (VP (VBN described) (PP (IN above))))))))))))) (. .))),(ROOT (S (NP (DT The) (NNP Commission)) (VP (VBZ has) (VP (VBN compiled) (NP (NP (DT the) (NNS findings)) (SBAR (WHNP (WDT that)) (S (VP (VBP do) (RB not) (VP (VB address) (NP (NP (DT the) (NNS statements)) (VP (VBN brought) (PRT (RP up)) (PP (IN in) (NP (DT the) (NNP Federal) (NNP Register) (NN notice)))))))))))) (. .))),The Commission has compiled factual findings that address the questions identified in the Federal Register notice described above.,The Commission has compiled the findings that do not address the statements brought up in the Federal Register notice.,neutral,neutral
138,299628,110488,110488e,government,"( However ( , ( ( when ( GAO ( conducts ( an investigation ) ) ) ) ( it ( ( ( does not ) ( ( notify ( ( the agency ) ( of ( the work ) ) ) ) ( because ( ( to ( do so ) ) ( might ( jeopardize ( the investigation ) ) ) ) ) ) ) . ) ) ) ) )",( Agency ( ( are ( notified ( of ( investigations ( ( conducted ( on them ) ) ( by GAO ) ) ) ) ) ) . ) ),"(ROOT (S (ADVP (RB However)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (NNP GAO)) (VP (VBZ conducts) (NP (DT an) (NN investigation))))) (NP (PRP it)) (VP (VBZ does) (RB not) (VP (VB notify) (NP (NP (DT the) (NN agency)) (PP (IN of) (NP (DT the) (NN work)))) (SBAR (IN because) (S (S (VP (TO to) (VP (VB do) (ADVP (RB so))))) (VP (MD might) (VP (VB jeopardize) (NP (DT the) (NN investigation)))))))) (. .)))",(ROOT (S (NP (NNP Agency)) (VP (VBP are) (VP (VBN notified) (PP (IN of) (NP (NP (NNS investigations)) (VP (VBN conducted) (PP (IN on) (NP (PRP them))) (PP (IN by) (NP (NNP GAO)))))))) (. .))),"However, when GAO conducts an investigation it does not notify the agency of the work because to do so might jeopardize the investigation.",Agency are notified of investigations conducted on them by GAO.,entailment,entailment
69,218420,104963,104963c,telephone,( ( ( you know ) and ) ( this ( is ( like ( ( across ( the street ) ) ( this ( was ( ( a ( nice part ) ) ( of town ) ) ) ) ) ) ) ) ),( There ( ( are ( ( parts ( of town ) ) ( where ( you ( are safe ) ) ) ) ) . ) ),(ROOT (NP (S (S (NP (PRP you)) (VP (VBP know))) (CC and) (S (NP (DT this)) (VP (VBZ is) (SBAR (IN like) (S (PP (IN across) (NP (DT the) (NN street))) (NP (DT this)) (VP (VBD was) (NP (NP (DT a) (JJ nice) (NN part)) (PP (IN of) (NP (NN town)))))))))))),(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (NNS parts)) (PP (IN of) (NP (NN town))) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP are) (ADJP (JJ safe))))))) (. .))),you know and this is like across the street this was a nice part of town,There are parts of town where you are safe. ,contradiction,contradiction
286,136731,81848,81848c,telephone,( ( ( extra car ) or ) ( having ( ( a ( better car ) ) ( ( ( this ( is ( ( ( a matter ) ( for them ) ) ( of ( of ( ( feeding themselves ) ( ( ( their wife ) and ) ( their family ) ) ) ) ) ) ) ) and ) ( and ( ( ( you ( there ( 's ( ( a ( certain degree ) ) ( of ( honor ( in ( being ( able ( to ( feed ( your family ) ) ) ) ) ) ) ) ) ) ) ) and ) ( there ( 's ( dishonor ( in ( not ( being ( able ( to ( do ( it and ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),( ( ( The problem ) ( for them ) ) ( ( was ( ( figuring out ) ( whether ( to ( get ( ( ( a ( better car ) ) or ) ( a ( second car ) ) ) ) ) ) ) ) . ) ),(ROOT (UCP (NP (JJ extra) (NN car)) (CC or) (VP (VBG having) (NP (NP (DT a) (JJR better) (NN car)) (SBAR (S (S (NP (DT this)) (VP (VBZ is) (NP (NP (DT a) (NN matter)) (PP (IN for) (NP (PRP them))) (PP (IN of) (PP (IN of) (S (VP (VBG feeding) (NP (PRP themselves)) (NP (NP (PRP$ their) (NN wife)) (CC and) (NP (PRP$ their) (NN family)))))))))) (CC and) (S (CC and) (S (S (NP (PRP you)) (ADVP (RB there)) (VP (VBZ 's) (NP (NP (DT a) (JJ certain) (NN degree)) (PP (IN of) (NP (NP (NN honor)) (PP (IN in) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB feed) (NP (PRP$ your) (NN family)))))))))))))) (CC and) (S (NP (EX there)) (VP (VBZ 's) (ADJP (JJ dishonor) (PP (IN in) (S (RB not) (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB do) (S (NP (PRP it)) (VP (VB and))))))))))))))))))))),(ROOT (S (NP (NP (DT The) (NN problem)) (PP (IN for) (NP (PRP them)))) (VP (VBD was) (VP (VBG figuring) (PRT (RP out)) (SBAR (IN whether) (S (VP (TO to) (VP (VB get) (NP (NP (DT a) (JJR better) (NN car)) (CC or) (NP (DT a) (JJ second) (NN car))))))))) (. .))),extra car or having a better car this is a matter for them of of feeding themselves their wife and their family and and you there's a certain degree of honor in being able to feed your family and there's dishonor in not being able to do it and,The problem for them was figuring out whether to get a better car or a second car.,contradiction,contradiction
319,161349,28610,28610c,fiction,( ( ( A kind ) ( of ( dark suspicion ) ) ) ( ( smouldered ( in ( her eyes ) ) ) . ) ),( ( Her ( smokey ( eye shadow ) ) ) ( ( was ( ( a bit ) ( too intense ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN kind)) (PP (IN of) (NP (JJ dark) (NN suspicion)))) (VP (VBD smouldered) (PP (IN in) (NP (PRP$ her) (NNS eyes)))) (. .))),(ROOT (S (NP (PRP$ Her) (JJ smokey) (NN eye) (NN shadow)) (VP (VBD was) (ADJP (NP (DT a) (RB bit)) (RB too) (JJ intense))) (. .))),A kind of dark suspicion smouldered in her eyes.,Her smokey eye shadow was a bit too intense. ,contradiction,contradiction
253,172594,115159,115159n,slate,( ( Horse-race journalism ) ( ( has ( ( ( more or ) less ) ( the ( same effect ) ) ) ) . ) ),( ( Horse-race journalism ) ( ( has ( nothing ( to ( do ( with horses ) ) ) ) ) . ) ),(ROOT (S (NP (JJ Horse-race) (NN journalism)) (VP (VBZ has) (NP (ADVP (JJR more) (CC or) (JJR less)) (DT the) (JJ same) (NN effect))) (. .))),(ROOT (S (NP (JJ Horse-race) (NN journalism)) (VP (VBZ has) (NP (NN nothing) (S (VP (TO to) (VP (VB do) (PP (IN with) (NP (NNS horses)))))))) (. .))),Horse-race journalism has more or less the same effect.,Horse-race journalism has nothing to do with horses.  ,neutral,neutral
327,29642,120440,120440n,telephone,( ( next ( to ( every window ) ) ) ( the ( state ( seems ( to ( have ( ( ( put up ) ( ( ( a turnstile ) and ) ( every time ) ) ) ( you ( look ( at ( ( a look ) ( at ( the mountains ) ) ) ) ) ) ) ) ) ) ) ) ),( ( The state ) ( ( has ( ( ( put up ) ( a ( turnstile next ) ) ) ( to ( every window ) ) ) ) . ) ),(ROOT (FRAG (ADVP (JJ next) (PP (TO to) (NP (DT every) (NN window)))) (NP (DT the) (NN state) (SBAR (S (VP (VBZ seems) (S (VP (TO to) (VP (VB have) (VP (VBN put) (PRT (RP up)) (NP (NP (DT a) (NN turnstile)) (CC and) (NP (DT every) (NN time))) (SBAR (S (NP (PRP you)) (VP (VBP look) (PP (IN at) (NP (NP (DT a) (NN look)) (PP (IN at) (NP (DT the) (NNS mountains)))))))))))))))))),(ROOT (S (NP (DT The) (NN state)) (VP (VBZ has) (VP (VBN put) (PRT (RP up)) (NP (DT a) (JJ turnstile) (JJ next)) (PP (TO to) (NP (DT every) (NN window))))) (. .))),next to every window the state seems to have put up a turnstile and every time you look at a look at the mountains,The state has put up a turnstile next to every window.,neutral,neutral
499,124668,76242,76242n,travel,"( ( Other items ) ( ( ( ( ( include ( hats ( , ( scarves ( , ( ties ( , ( purses ( , ( kaftan shirts ) ) ) ) ) ) ) ) ) ) , ) and ) wall-hangings ) . ) )","( ( ( ( ( ( ( ( ( ( ( ( Hats , ) scarves ) , ) ties ) , ) purses ) , ) ( kaftan shirts ) ) , ) and ) wall-hangings ) ( ( can ( be included ) ) . ) )","(ROOT (S (NP (JJ Other) (NNS items)) (VP (VP (VBP include) (NP (NNS hats) (, ,) (NNS scarves) (, ,) (NNS ties) (, ,) (NNS purses) (, ,) (JJ kaftan) (NNS shirts))) (, ,) (CC and) (VP (VBZ wall-hangings))) (. .)))","(ROOT (S (NP (NP (NNS Hats)) (, ,) (NP (NNS scarves)) (, ,) (NP (NNS ties)) (, ,) (NP (NNS purses)) (, ,) (NP (NN kaftan) (NNS shirts)) (, ,) (CC and) (NP (NNS wall-hangings))) (VP (MD can) (VP (VB be) (VP (VBN included)))) (. .)))","Other items include hats, scarves, ties, purses, kaftan shirts, and wall-hangings.","Hats, scarves, ties, purses, kaftan shirts, and wall-hangings can be included.",neutral,neutral
266,338581,12395,12395e,slate,"( ( As ( a strategist ) ) ( , ( Bradley ( ( knows ( he ( 'd ( be ( an ( idiot ( to ( debate Gore ) ) ) ) ) ) ) ) . ) ) ) )",( Bradley ( ( considers ( Gore ( to ( be ( a ( worthy ( debate opponent ) ) ) ) ) ) ) . ) ),"(ROOT (S (PP (IN As) (NP (DT a) (NN strategist))) (, ,) (NP (NNP Bradley)) (VP (VBZ knows) (SBAR (S (NP (PRP he)) (VP (MD 'd) (VP (VB be) (NP (DT an) (NN idiot) (S (VP (TO to) (VP (VB debate) (NP (NNP Gore))))))))))) (. .)))",(ROOT (S (NP (NNP Bradley)) (VP (VBZ considers) (S (NP (NNP Gore)) (VP (TO to) (VP (VB be) (NP (DT a) (JJ worthy) (NN debate) (NN opponent)))))) (. .))),"As a strategist, Bradley knows he'd be an idiot to debate Gore.",Bradley considers Gore to be a worthy debate opponent. ,entailment,entailment
403,386462,5055,5055n,telephone,( ( ( ( uh now ) ( when ( i ( was ( ( ( growing up ) ( in ( ( the Panhandle ) ( of ( ( Texas ( l ook ) ) ( at ( your map ) ) ) ) ) ) ) later ) ) ) ) ) and ) ( see ( ( the ( the town ) ) ( of Amarillo ) ) ) ),( I ( ( ( grew up ) ( in ( ( the panhandle ) ( of Texas ) ) ) ) . ) ),(ROOT (S (VP (VP (VB uh) (ADVP (RB now)) (SBAR (WHADVP (WRB when)) (S (NP (FW i)) (VP (VBD was) (VP (VBG growing) (PRT (RP up)) (PP (IN in) (NP (NP (DT the) (NNP Panhandle)) (PP (IN of) (NP (NP (NNP Texas) (NNP l) (NNP ook)) (PP (IN at) (NP (PRP$ your) (NN map))))))) (ADVP (RB later))))))) (CC and) (VP (VB see) (NP (NP (DT the) (DT the) (NN town)) (PP (IN of) (NP (NNP Amarillo)))))))),(ROOT (S (NP (PRP I)) (VP (VBD grew) (PRT (RP up)) (PP (IN in) (NP (NP (DT the) (NN panhandle)) (PP (IN of) (NP (NNP Texas)))))) (. .))),uh now when i was growing up in the Panhandle of Texas l ook at your map later and see the the town of Amarillo,I grew up in the panhandle of Texas.,neutral,neutral
118,146483,60473,60473c,government,( Both ( ( utilize ( the ( contingent ( valuation method ) ) ) ) . ) ),( ( The ( contingent ( valuation method ) ) ) ( ( can ( be used ) ) . ) ),(ROOT (S (NP (DT Both)) (VP (VB utilize) (NP (DT the) (JJ contingent) (NN valuation) (NN method))) (. .))),(ROOT (S (NP (DT The) (JJ contingent) (NN valuation) (NN method)) (VP (MD can) (VP (VB be) (VP (VBN used)))) (. .))),Both utilize the contingent valuation method.,The contingent valuation method can be used.,contradiction,contradiction
128,250839,47239,47239c,fiction,( ( ( Would they ) ( hail it ) ) ? ),( They ( ( are ( wondering ( if ( they ( will ( hail it ) ) ) ) ) ) . ) ),(ROOT (SQ (MD Would) (NP (PRP they)) (VP (VB hail) (NP (PRP it))) (. ?))),(ROOT (S (NP (PRP They)) (VP (VBP are) (VP (VBG wondering) (SBAR (IN if) (S (NP (PRP they)) (VP (MD will) (VP (VB hail) (NP (PRP it)))))))) (. .))),Would they hail it? ,They are wondering if they will hail it.,contradiction,contradiction
201,306088,29095,29095n,travel,( Also ( ( ( ( beyond ( the Strip ) ) and ) Downtown ) ( ( lie ( ( other signs ) ( of ( ( ( a ( real living ) ) and ) ( breathing metropolis ) ) ) ) ) . ) ) ),( There ( ( is ( ( no signs ) ( of ( life ( outside ( the metropolis ) ) ) ) ) ) . ) ),(ROOT (S (ADVP (RB Also)) (NP (NP (RB beyond) (DT the) (NNP Strip)) (CC and) (NP (NN Downtown))) (VP (VBP lie) (NP (NP (JJ other) (NNS signs)) (PP (IN of) (NP (NP (DT a) (JJ real) (NN living)) (CC and) (NP (NN breathing) (NNS metropolis)))))) (. .))),(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NNS signs)) (PP (IN of) (NP (NP (NN life)) (PP (IN outside) (NP (DT the) (NNS metropolis))))))) (. .))),Also beyond the Strip and Downtown lie other signs of a real living and breathing metropolis.,There is no signs of life outside the metropolis.,neutral,neutral
206,247267,111757,111757c,government,"( ( In ( ( the case ) ( of ( property ( acquired ( through ( forfeiture proceedings ) ) ) ) ) ) ) ( , ( ( ( the timing ) ( of recognition ) ) ( ( depends ( on ( ( the ( ( nature and ) disposition ) ) ( of ( the property ) ) ) ) ) . ) ) ) )",( ( ( The disposition ) ( of property ) ) ( ( effects ( ( the timing ) ( of recognition ) ) ) . ) ),"(ROOT (S (PP (IN In) (NP (NP (DT the) (NN case)) (PP (IN of) (NP (NP (NN property)) (VP (VBN acquired) (PP (IN through) (NP (NN forfeiture) (NNS proceedings)))))))) (, ,) (NP (NP (DT the) (NN timing)) (PP (IN of) (NP (NN recognition)))) (VP (VBZ depends) (PP (IN on) (NP (NP (DT the) (NN nature) (CC and) (NN disposition)) (PP (IN of) (NP (DT the) (NN property)))))) (. .)))",(ROOT (S (NP (NP (DT The) (NN disposition)) (PP (IN of) (NP (NN property)))) (VP (VBZ effects) (NP (NP (DT the) (NN timing)) (PP (IN of) (NP (NN recognition))))) (. .))),"In the case of property acquired through forfeiture proceedings, the timing of recognition depends on the nature and disposition of the property.",The disposition of property effects the timing of recognition.,contradiction,contradiction
226,308459,119072,119072c,government,"( ( ( ( Effectively and ) efficiently ) ( implementing ( some ( of ( these practices ) ) ) ) ) ( ( could ( require ( ( ( funding ( for ( ( ( ( computer ( ( software and ) hardware ) ) , ) ( additional staff ) ) , ) ) ) and/or ) training ) ) ) . ) )","( ( ( ( ( ( Some ( of ( these practices ) ) ) ( ( would not ) ( require funding ) ) ) , ) but ) ( ( most ( of them ) ) would ) ) . )","(ROOT (S (NP (NP (NNP Effectively) (CC and) (NNP efficiently)) (VP (VBG implementing) (NP (NP (DT some)) (PP (IN of) (NP (DT these) (NNS practices)))))) (VP (MD could) (VP (VB require) (S (VP (VP (VBG funding) (PP (IN for) (NP (NP (NN computer) (NN software) (CC and) (NN hardware)) (, ,) (NP (JJ additional) (NN staff)) (, ,)))) (CC and/or) (VP (VBG training)))))) (. .)))","(ROOT (S (S (NP (NP (DT Some)) (PP (IN of) (NP (DT these) (NNS practices)))) (VP (MD would) (RB not) (VP (VB require) (NP (NN funding))))) (, ,) (CC but) (S (NP (NP (JJS most)) (PP (IN of) (NP (PRP them)))) (VP (MD would))) (. .)))","Effectively and efficiently implementing some of these practices could require funding for computer software and hardware, additional staff, and/or training.","Some of these practices would not require funding, but most of them would.",contradiction,contradiction
